"smiles","fragments","n_fragments","C","F","N","O","Other","SINGLE","DOUBLE","TRIPLE","Tri","Quad","Pent","Hex","logP","mr","qed","SAS"
"CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1","*C(C)(C)C *NC(=O)Cc1coc2ccc(*)cc12 *c1ccccc1F",3,20,1,1,2,0,18,8,0,0,0,1,2,5.0506,93.6477,0.702012232801,2.08409457207268
"CC1CC(C)CC(Nc2cncc(-c3nncn3C)c2)C1","*C1CC(C)CC(C)C1 *Nc1cncc(-c2nncn2C)c1",2,16,0,5,0,0,18,5,0,0,0,1,2,3.1137,83.8237,0.928975488089,3.43200381927478
"N#Cc1ccc(-c2ccc(OC(C(=O)N3CCCC3)c3ccccc3)cc2)cc1","*c1ccc(C#N)cc1 *c1ccc(OC(C(=O)N2CCCC2)c2ccccc2)cc1",2,25,0,2,2,0,21,10,1,0,0,1,3,4.96778,112.218,0.599681738168,2.4706326078252
"CCOC(=O)C1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1","*OCC *C(=O)C1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1",2,24,0,3,3,0,26,7,0,0,0,1,2,4.00022,115.2155,0.690944353014,2.82275331117096
"N#CC1=C(SCC(=O)Nc2cccc(Cl)c2)N=C([O-])C(C#N)C12CCCCC2","*SC1=C(C#N)C2(CCCCC2)C(C#N)C([O-])=N1 *CC(=O)Nc1cccc(Cl)c1",2,20,0,4,2,2,22,6,2,0,0,0,3,3.60956,107.2347,0.789027154554,4.03518213830274
"CC[NH+](CC)C(C)(CC)C(O)c1cscc1Br","*[NH+](CC)CC *C(C)(CC)C(O)c1cscc1Br",2,13,0,1,1,2,15,2,0,0,0,1,0,2.6374,77.7195,0.824368801371,5.09143754991393
"COc1ccc(C(=O)N(C)C(C)CC(N)=NO)cc1O","*c1ccc(OC)c(O)c1 *C(=O)N(C)C(C)CC(N)=NO",2,13,0,3,4,0,15,5,0,0,0,0,1,0.9978,74.2402,0.327296942917,2.85231639896682
"O=C(Nc1nc[nH]n1)c1cccnc1Nc1cccc(F)c1","*C(=O)c1cccnc1Nc1cccc(F)c1 *Nc1nc[nH]n1",2,14,1,6,1,0,15,9,0,0,0,1,2,2.3347,78.2556,0.687612061186,2.62785749180214
"CC1CN(C(=O)c2cc(Br)cn2C)CCC1[NH3+]","*N1CCC([NH3+])C(C)C1 *C(=O)c1cc(Br)cn1C",2,12,0,3,1,1,15,3,0,0,0,1,1,0.8801,69.4736,0.835024276889,3.94793346964638
"CCOc1ccc(OCC)c(C2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1","*OCC *c1ccc(OCC)c(C2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1",2,27,3,3,3,0,29,9,1,0,0,0,4,5.80758,128.1544,0.533054502614,3.17320233422881
"Cc1ccc2nc(SC(C)C(=O)NC3CCC(C)CC3)n(C)c(=O)c2c1","*c1nc2ccc(C)cc2c(=O)n1C *SC(C)C(=O)NC1CCC(C)CC1",2,20,0,3,2,1,22,6,0,0,0,0,3,3.41742,106.6027,0.645397634811,2.6923056373061
"O=C(N1CCc2c(F)ccc(F)c2C1)C1(O)Cc2ccccc2C1","*C(=O)C1(O)Cc2ccccc2C1 *N1CCc2c(F)ccc(F)c2C1",2,19,2,1,2,0,20,7,0,0,0,1,3,2.3794,84.2788000000001,0.873135845828,2.73319977231581
"Cc1ccccc1C(=O)N1CCC2(CC1)CC(c1ccccc1)C(=O)N2C","*c1ccccc1C *C(=O)N1CCC2(CC1)CC(c1ccccc1)C(=O)N2C",2,23,0,2,2,0,22,8,0,0,0,1,3,3.61572,105.6175,0.797803835055,3.35035228349692
"CCCc1cc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)n(C)n1","*CCC *C(=O)Nc1cc(*)nn1C *CN1C(=O)NC2(CCC(C)CC2)C1=O",3,18,0,5,3,0,23,5,0,0,0,2,1,1.8118,96.4404000000001,0.787345956039,3.07756717576764
"CC(C)Cc1nc(SCC(=O)NCC2CCCO2)c2c(=O)n(C)c(=O)n(C)c2n1","*CC(C)C *C(=O)CSc1nc(*)nc2c1c(=O)n(C)c(=O)n2C *NCC1CCCO1",3,19,0,5,4,1,25,6,0,0,0,1,2,0.613,111.2697,0.525052380159,3.11253337705597
"Cc1ccc(CNC(=O)c2ccccc2NC(=O)C2CC(=O)N(c3ccc(C)cc3)C2)cc1","*c1ccc(C)cc1 *CNC(=O)c1ccccc1NC(=O)C1CC(=O)N(c2ccc(C)cc2)C1",2,27,0,3,3,0,24,12,0,0,0,1,3,4.22504,129.0599,0.577048775827,2.42903740600651
"CCCCC(=O)NC(=S)Nc1ccccc1C(=O)N1CCOCC1","*C(=O)CCCC *NC(=S)Nc1ccccc1* *C(=O)N1CCOCC1",3,17,0,3,3,1,19,6,0,0,0,0,2,2.1622,97.0529,0.800069612705,2.03791515693119
"Cc1c(NC(=O)CSc2nc3sc4c(c3c(=O)[nH]2)CCCC4)c(=O)n(-c2ccccc2)n1C","*c1c(C)n(C)n(-c2ccccc2)c1=O *CC(=O)N* *Sc1nc2sc3c(c2c(=O)[nH]1)CCCC3",3,23,0,5,3,2,27,10,0,0,0,2,3,3.39202,131.9834,0.329473892012,2.62217770660925
"CC(C)C(Oc1cccc(Cl)c1)C(=O)N1CCC(n2cccn2)CC1","*C(C(=O)N1CCC(n2cccn2)CC1)C(C)C *Oc1cccc(Cl)c1",2,19,0,3,2,1,21,6,0,0,0,1,2,3.8036,97.7840000000001,0.788499104818,2.9404693666843
"CCN(CC)C(=O)CC(C)[NH2+]C(C)c1cccc(F)c1F","*N(CC)CC *C(=O)CC(C)[NH2+]C(C)c1cccc(F)c1F",2,16,2,2,1,0,17,4,0,0,0,0,1,2.2362,78.7054,0.825487808022,3.87825381927478
"Cc1nc2c(c(Nc3ncc(C)s3)n1)CCN(C(=O)CCc1ccccc1)C2","*c1nc(C)nc2c1CCN(C(=O)CCc1ccccc1)C2 *Nc1ncc(C)s1",2,21,0,5,1,1,22,9,0,0,0,1,3,3.81104,110.7867,0.691789680398,2.5456861771413
"O=C(NCCNC(=O)N1CC2CC=CCC2C1)c1cccnc1","*C(=O)c1cccnc1 *CCN* *NC(=O)N1CC2CC=CCC2C1",3,17,0,4,2,0,19,6,0,0,0,1,2,1.419,86.8959,0.658574943009,3.19435221062241
"O=c1n(CCO)c2ccccc2n1CCO","*n1c(=O)n(CCO)c2ccccc21 *CCO",2,11,0,2,3,0,13,4,0,0,0,1,1,-0.2124,60.3696,0.776598468769,2.10863462919449
"COC(=O)Cc1csc(NC(=O)Cc2coc3cc(C)ccc23)n1","*CC(=O)OC *c1csc(NC(=O)Cc2coc3cc(C)ccc23)n1",2,17,0,2,4,1,18,8,0,0,0,2,1,3.09442,91.1187,0.71042890863,2.30881719313029
"Cc1ccc(N2CCC(NS(=O)(=O)c3ccccc3C)C2=O)cc1C","*c1ccc(C)c(C)c1 *N1CCC(NS(=O)(=O)c2ccccc2C)C1=O",2,19,0,2,3,1,18,9,0,0,0,1,2,2.69566,98.1745,0.909748572395,2.59562119672811
"CCC(C)CC(C)NC(=O)N1CCN(CC(=O)NC2CC2)CC1","*C(C)CC(C)CC *CN1CCN(C(=O)N*)CC1 *C(=O)NC1CC1",3,17,0,4,2,0,22,2,0,1,0,0,1,1.4169,91.2434000000001,0.751938376416,2.90680656522304
"CC(=O)Nc1c2n(c3ccccc13)CC(C)(C(=O)NC1CCCCC1)N(C1CCCCC1)C2=O","*C(C)=O *Nc1c2n(c3ccccc13)CC(C)(C(=O)NC1CCCCC1)N(C1CCCCC1)C2=O",2,27,0,4,3,0,31,7,0,0,0,1,4,4.5958,132.7049,0.663239457023,3.19836124502358
"N#Cc1ccncc1NCC1CC12CCc1ccccc12","*c1cnccc1C#N *NCC1CC12CCc1ccccc12",2,18,0,3,0,0,17,6,1,1,0,1,2,3.26928,81.9897,0.919377068947,3.91860217555394
"Cc1cccn2c(=O)c(C(=O)NCC3CCOC3C(C)C)cnc12","*c1cnc2c(C)cccn2c1=O *C(=O)NCC1CCOC1C(C)C",2,18,0,3,3,0,20,6,0,0,0,1,2,1.79382,91.2172000000001,0.934718058892,3.44908611419887
"CNC(=O)c1ccc(C=CC(=O)Nc2c(C)cc(C)nc2Cl)cc1","*C(=O)NC *NC(=O)C=Cc1ccc(*)cc1 *c1c(C)cc(C)nc1Cl",3,18,0,3,2,1,16,9,0,0,0,0,2,3.36334,96.2169,0.64765252107,2.23947196482918
"CC1=C(CNC(=O)c2cc(-c3ccccc3)nc3c2CNN3C(C)C)CN=N1","*CC1=C(C)N=NC1 *NC(=O)c1cc(-c2ccccc2)nc2c1CNN2C(C)C",2,21,0,6,1,0,22,9,0,0,0,2,2,3.4512,108.8839,0.819556620415,3.35093331389343
"CC(NC(=O)COC(=O)C=Cc1ccc(Cl)cc1)c1ccccc1","*C(C)c1ccccc1 *NC(*)=O *C=CC(=O)OC* *c1ccc(Cl)cc1",4,19,0,1,3,1,16,9,0,0,0,0,2,3.7738,94.4447,0.62222414602,2.2578478658596
